date,open,close,high,low,volume,money
2022-01-04,276.0,271.0,279.45,265.22,24466089.0,6673692547.76
2022-01-05,264.55,253.26,266.48,251.72,30170891.0,7725244308.62
2022-01-06,250.0,250.02,254.53,247.89,17590784.0,4396413606.7
2022-01-07,251.8,246.5,252.96,245.0,16193355.0,4009535493.33
2022-01-10,245.0,246.3,249.47,239.03,16214182.0,3964485468.0
2022-01-11,246.28,239.09,246.28,237.8,21244147.0,5100240704.0
2022-01-12,246.0,256.0,256.0,244.31,32360224.0,8103336076.0
2022-01-13,257.74,255.31,258.56,248.61,21710390.0,5516666113.0
2022-01-14,250.8,253.14,257.3,250.0,14954815.0,3798549606.0
2022-01-17,253.02,266.49,267.49,253.02,24114466.0,6349270849.0
2022-01-18,266.41,266.08,268.96,262.3,12505443.0,3325099879.0
2022-01-19,265.95,252.97,267.88,250.31,23188180.0,5960665206.0
2022-01-20,252.1,251.07,253.71,247.0,14998647.0,3759819343.0
2022-01-21,251.08,250.4,255.74,246.33,11239432.0,2822719636.0
2022-01-24,246.08,251.4,252.88,244.27,10837686.0,2706367141.0
2022-01-25,248.0,240.31,251.0,240.0,17277223.0,4222848972.0
2022-01-26,245.0,249.49,251.38,242.31,17444584.0,4321964224.0
2022-01-27,247.0,241.27,249.3,241.0,13264963.0,3242987819.0
2022-01-28,239.98,226.8,242.0,219.76,32437311.0,7392709579.0
2022-02-07,240.79,244.4,249.28,238.01,25112453.0,6117950238.0
2022-02-08,243.0,236.97,243.0,230.64,19903953.0,4669048973.0
2022-02-09,239.05,245.18,246.4,235.03,19992864.0,4854528826.0
2022-02-10,246.77,240.12,248.0,238.1,14628460.0,3521519984.0
2022-02-11,236.05,230.19,240.12,228.5,19943926.0,4646313004.0
2022-02-14,230.2,231.98,235.0,225.0,13319949.0,3079221402.0
2022-02-15,232.18,238.31,239.96,232.18,15852428.0,3757722229.0
2022-02-16,242.0,240.6,244.99,240.39,12872491.0,3117890740.0
2022-02-17,242.24,245.41,248.74,239.0,19106386.0,4670631745.0
2022-02-18,241.0,242.96,245.39,240.0,9910466.0,2407158413.0
2022-02-21,241.0,241.89,245.8,239.64,10953804.0,2657589017.0
2022-02-22,239.0,237.45,239.0,234.3,12545211.0,2966441429.0
2022-02-23,241.9,252.0,252.52,239.01,29114890.0,7232161935.0
2022-02-24,248.11,244.86,251.78,241.58,23821988.0,5865805706.0
2022-02-25,249.9,247.84,252.38,247.83,14601353.0,3646918799.0
2022-02-28,246.9,249.6,250.19,246.0,11829090.0,2936223651.0
2022-03-01,255.0,251.78,256.61,249.25,17651958.0,4476714982.0
2022-03-02,249.0,248.6,249.36,243.96,12124247.0,2998567642.0
2022-03-03,249.52,245.21,250.86,244.0,9963340.0,2449485385.0
2022-03-04,237.31,233.8,241.86,230.0,29170634.0,6857430687.0
2022-03-07,226.89,223.61,227.69,220.02,23612920.0,5286036163.0
2022-03-08,221.08,216.19,225.49,210.0,29149934.0,6317187685.0
2022-03-09,217.0,223.59,223.6,210.0,25113522.0,5484773703.0
2022-03-10,232.91,229.1,233.43,229.0,24834283.0,5744789049.0
2022-03-11,222.0,229.85,231.79,220.02,18611604.0,4186645901.0
2022-03-14,225.0,219.0,225.0,219.0,15084061.0,3336922826.0
2022-03-15,211.13,212.8,222.0,209.43,19820362.0,4269341883.0
2022-03-16,221.0,229.43,230.0,214.2,33376627.0,7432043601.0
2022-03-17,240.38,234.9,240.88,234.66,31584430.0,7518685379.0
2022-03-18,234.9,234.5,238.87,232.05,15054856.0,3530653259.0
